rank,title,cluster,genre,Rank,Title
57,Dances with Wolves,1,"[u' Adventure', u' Drama', u' Western']",58,Dances with Wolves
58,The Pianist,3,"[u' Biography', u' Drama', u' War']",59,The Pianist
59,Goodfellas,3,"[u' Biography', u' Crime', u' Drama']",60,Goodfellas
60,The Exorcist,2,[u' Horror'],61,The Exorcist
61,The Deer Hunter,1,"[u' Drama', u' War']",62,The Deer Hunter
62,All Quiet on the Western Front,1,"[u' Drama', u' War']",63,All Quiet on the Western Front
63,The French Connection,2,"[u' Action', u' Crime', u' Thriller']",64,The French Connection
64,City Lights,2,"[u' Comedy', u' Drama', u' Romance']",65,City Lights
65,The King's Speech,4,"[u' Biography', u' Drama', u' History']",66,The King's Speech
66,It Happened One Night,2,"[u' Comedy', u' Romance']",67,It Happened One Night
67,A Place in the Sun,4,"[u' Drama', u' Romance']",68,A Place in the Sun
68,Midnight Cowboy,2,[u' Drama'],69,Midnight Cowboy
69,Mr. Smith Goes to Washington,3,[u' Drama'],70,Mr. Smith Goes to Washington
70,Rain Man,2,[u' Drama'],71,Rain Man
71,Annie Hall,3,"[u' Comedy', u' Drama', u' Romance']",72,Annie Hall
72,Out of Africa,3,"[u' Biography', u' Drama', u' Romance']",73,Out of Africa
73,Good Will Hunting,2,[u' Drama'],74,Good Will Hunting
74,Terms of Endearment,3,"[u' Comedy', u' Drama']",75,Terms of Endearment
75,Tootsie,4,"[u' Comedy', u' Drama', u' Romance']",76,Tootsie
76,Fargo,2,"[u' Crime', u' Drama', u' Thriller']",77,Fargo
77,Giant,3,"[u' Drama', u' Romance']",78,Giant
78,The Grapes of Wrath,3,[u' Drama'],79,The Grapes of Wrath
79,Shane,2,"[u' Drama', u' Romance', u' Western']",80,Shane
80,The Green Mile,2,"[u' Crime', u' Drama', u' Fantasy', u' Mystery']",81,The Green Mile
81,Close Encounters of the Third Kind,1,"[u' Drama', u' Sci-Fi']",82,Close Encounters of the Third Kind
82,Network,2,[u' Drama'],83,Network
83,Nashville,2,"[u' Drama', u' Music']",84,Nashville
84,The Graduate,2,"[u' Comedy', u' Drama', u' Romance']",85,The Graduate
85,American Graffiti,2,"[u' Comedy', u' Drama']",86,American Graffiti
86,Pulp Fiction,2,"[u' Crime', u' Drama', u' Thriller']",87,Pulp Fiction
87,The African Queen,2,"[u' Adventure', u' Romance', u' War']",88,The African Queen
88,Stagecoach,1,"[u' Adventure', u' Western']",89,Stagecoach
89,Mutiny on the Bounty,1,"[u' Adventure', u' Drama', u' History']",90,Mutiny on the Bounty
90,The Maltese Falcon,2,"[u' Drama', u' Film-Noir', u' Mystery']",91,The Maltese Falcon
91,A Clockwork Orange,2,"[u' Crime', u' Drama', u' Sci-Fi']",92,A Clockwork Orange
92,Taxi Driver,2,"[u' Crime', u' Drama']",93,Taxi Driver
93,Wuthering Heights,2,"[u' Drama', u' Romance']",94,Wuthering Heights
94,Double Indemnity,2,"[u' Crime', u' Drama', u' Film-Noir', u' Thriller']",95,Double Indemnity
95,Rebel Without a Cause,2,[u' Drama'],96,Rebel Without a Cause
96,Rear Window,2,"[u' Mystery', u' Thriller']",97,Rear Window
97,The Third Man,2,"[u' Film-Noir', u' Mystery', u' Thriller']",98,The Third Man
98,North by Northwest,2,"[u' Mystery', u' Thriller']",99,North by Northwest
99,Yankee Doodle Dandy,0,"[u' Biography', u' Drama', u' Musical']",100,Yankee Doodle Dandy
